#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) log(j_min) log of the minimum specific angular momentum of the selection in logscale (in physical units, Mpc/h * km/s)
#(8) log(j_max) log of the maximum specific angular momentum of the selection in logscale (in physical units, Mpc/h * km/s)
#(9) Dir
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	log(j_min)	log(j_max)	Dir
11.0 11.2916666667 -2.75 -2.5 -1.66666666667 -1.5 -2.08333333333 -1.66666666667 97.5877734138
11.0 11.2916666667 -2.75 -2.5 -1.66666666667 -1.5 -1.66666666667 -1.25 95.0241139866
11.0 11.2916666667 -2.75 -2.5 -1.66666666667 -1.5 -1.25 -0.833333333333 92.9436249316
11.0 11.2916666667 -2.75 -2.5 -1.66666666667 -1.5 -0.833333333333 -0.416666666667 91.3965438392
11.0 11.2916666667 -2.75 -2.5 -1.66666666667 -1.5 -0.416666666667 0.0 88.6942785223
11.0 11.2916666667 -2.75 -2.5 -1.66666666667 -1.5 0.0 0.416666666667 87.7697056668
11.0 11.2916666667 -2.75 -2.5 -1.66666666667 -1.5 0.416666666667 0.833333333333 98.7795483575
11.0 11.2916666667 -2.75 -2.5 -1.66666666667 -1.5 0.833333333333 1.25 -99.0
11.0 11.2916666667 -2.75 -2.5 -1.66666666667 -1.5 1.25 1.66666666667 -99.0
11.0 11.2916666667 -2.75 -2.5 -1.66666666667 -1.5 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -2.75 -2.5 -1.66666666667 -1.5 2.08333333333 2.5 -99.0
11.0 11.2916666667 -2.75 -2.5 -1.5 -1.33333333333 -2.5 -2.08333333333 -99.0
11.0 11.2916666667 -2.75 -2.5 -1.5 -1.33333333333 -2.08333333333 -1.66666666667 100.792341139
11.0 11.2916666667 -2.75 -2.5 -1.5 -1.33333333333 -1.66666666667 -1.25 85.2216070145
